Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,AvgCardsBought,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
97,Eliminated,5,5,4,3,6,48.0%,50,12.18,84.0%,54.0%,62.0%,68.0%,48.0%,-,-,-,-,-,-
98,Eliminated,5,10,8,3,4,48.0%,50,13.70,72.0%,70.0%,54.0%,58.0%,48.0%,-,-,-,-,-,-
99,Eliminated,5,15,8,3,6,48.0%,50,17.10,80.0%,68.0%,56.0%,56.0%,48.0%,-,-,-,-,-,-
100,Eliminated,10,0,10,2,10,48.0%,50,5.58,98.0%,58.0%,52.0%,56.0%,48.0%,-,-,-,-,-,-
101,Eliminated,10,5,6,2,6,48.0%,50,11.88,94.0%,60.0%,62.0%,56.0%,48.0%,-,-,-,-,-,-
102,Eliminated,10,10,10,2,8,48.0%,50,16.92,80.0%,64.0%,60.0%,54.0%,48.0%,-,-,-,-,-,-
103,Eliminated,15,5,10,3,8,48.0%,50,12.82,92.0%,70.0%,64.0%,54.0%,48.0%,-,-,-,-,-,-
104,Eliminated,15,20,8,2,10,48.0%,50,18.14,92.0%,54.0%,54.0%,58.0%,48.0%,-,-,-,-,-,-
105,Eliminated,20,0,2,1,10,48.0%,50,6.02,94.0%,60.0%,56.0%,52.0%,48.0%,-,-,-,-,-,-
106,Eliminated,0,0,4,3,2,46.0%,50,3.98,82.0%,52.0%,50.0%,52.0%,46.0%,-,-,-,-,-,-
107,Eliminated,0,0,6,2,6,46.0%,50,4.54,90.0%,76.0%,54.0%,58.0%,46.0%,-,-,-,-,-,-
108,Eliminated,0,5,4,3,4,46.0%,50,8.48,78.0%,64.0%,54.0%,58.0%,46.0%,-,-,-,-,-,-
109,Eliminated,0,10,8,3,6,46.0%,50,12.98,72.0%,66.0%,58.0%,50.0%,46.0%,-,-,-,-,-,-
110,Eliminated,5,0,0,1,8,46.0%,50,5.40,80.0%,64.0%,56.0%,52.0%,46.0%,-,-,-,-,-,-
111,Eliminated,5,0,4,2,6,46.0%,50,5.28,92.0%,50.0%,60.0%,54.0%,46.0%,-,-,-,-,-,-
112,Eliminated,5,0,10,2,6,46.0%,50,5.06,90.0%,66.0%,62.0%,58.0%,46.0%,-,-,-,-,-,-
113,Eliminated,5,5,10,2,6,46.0%,50,12.48,76.0%,64.0%,64.0%,56.0%,46.0%,-,-,-,-,-,-
114,Eliminated,10,0,6,3,6,46.0%,50,6.22,96.0%,56.0%,54.0%,66.0%,46.0%,-,-,-,-,-,-
115,Eliminated,10,5,8,3,4,46.0%,50,11.52,82.0%,58.0%,62.0%,58.0%,46.0%,-,-,-,-,-,-
