Rank,Status,VP,EN,HL,AT,YD,WinRate,GamesPlayed,P1%,P2%,P3%,P4%,P5%,P6%,P7%,P8%,P9%,P10%,P11%
146,Eliminated,10,10,6,3,4,41.5%,200,81.0%,54.0%,50.5%,53.5%,41.5%,-,-,-,-,-,-
147,Eliminated,10,5,8,3,4,40.5%,200,84.5%,56.5%,57.5%,55.0%,40.5%,-,-,-,-,-,-
148,Eliminated,10,5,10,2,4,40.0%,200,89.0%,57.0%,57.0%,52.0%,40.0%,-,-,-,-,-,-
149,Eliminated,15,10,10,2,8,40.0%,200,90.5%,52.5%,54.0%,53.0%,40.0%,-,-,-,-,-,-
150,Eliminated,5,5,8,3,4,39.0%,200,85.0%,51.5%,58.5%,54.5%,39.0%,-,-,-,-,-,-
151,Eliminated,5,10,8,3,10,39.0%,200,88.5%,56.5%,51.5%,55.0%,39.0%,-,-,-,-,-,-
152,Eliminated,5,10,10,3,6,39.0%,200,84.0%,59.0%,53.5%,50.0%,39.0%,-,-,-,-,-,-
153,Eliminated,10,10,8,2,6,39.0%,200,86.5%,53.0%,53.0%,56.0%,39.0%,-,-,-,-,-,-
154,Eliminated,10,10,8,3,6,39.0%,200,86.5%,53.5%,56.0%,61.0%,39.0%,-,-,-,-,-,-
155,Eliminated,5,5,6,2,6,38.5%,200,86.0%,53.0%,51.5%,52.0%,38.5%,-,-,-,-,-,-
156,Eliminated,10,10,6,3,6,38.5%,200,83.5%,51.0%,52.5%,52.0%,38.5%,-,-,-,-,-,-
157,Eliminated,15,15,8,2,6,38.5%,200,82.5%,57.0%,52.0%,50.5%,38.5%,-,-,-,-,-,-
158,Eliminated,0,5,8,3,2,38.0%,200,74.0%,54.0%,53.0%,51.0%,38.0%,-,-,-,-,-,-
159,Eliminated,5,0,0,2,10,37.5%,200,87.5%,56.0%,52.5%,52.5%,37.5%,-,-,-,-,-,-
160,Eliminated,10,15,8,3,6,37.5%,200,84.5%,55.5%,60.5%,57.0%,37.5%,-,-,-,-,-,-
161,Eliminated,15,15,10,2,8,37.5%,200,84.0%,52.5%,55.0%,55.0%,37.5%,-,-,-,-,-,-
162,Eliminated,10,10,10,3,6,37.0%,200,82.0%,57.0%,52.0%,55.0%,37.0%,-,-,-,-,-,-
163,Eliminated,5,15,6,3,6,36.0%,200,76.0%,58.0%,53.0%,51.0%,36.0%,-,-,-,-,-,-
164,Eliminated,5,0,0,1,8,35.5%,200,82.0%,56.0%,52.5%,50.0%,35.5%,-,-,-,-,-,-
165,Eliminated,0,10,6,3,4,34.5%,200,71.5%,60.5%,51.5%,50.0%,34.5%,-,-,-,-,-,-
166,Eliminated,20,20,8,3,10,33.0%,200,88.5%,57.5%,54.0%,52.3%,33.0%,-,-,-,-,-,-
167,Eliminated,10,15,6,3,8,30.0%,200,84.5%,57.0%,54.0%,50.5%,30.0%,-,-,-,-,-,-
168,Eliminated,15,15,6,3,10,29.0%,200,86.5%,56.5%,59.0%,52.0%,29.0%,-,-,-,-,-,-
169,Eliminated,10,0,10,2,10,50.0%,200,95.0%,65.5%,61.5%,50.0%,-,-,-,-,-,-,-
170,Eliminated,10,5,8,3,8,50.0%,200,91.0%,55.5%,53.5%,50.0%,-,-,-,-,-,-,-
171,Eliminated,10,5,10,3,4,50.0%,200,84.5%,57.5%,52.5%,50.0%,-,-,-,-,-,-,-
172,Eliminated,10,15,4,3,4,50.0%,200,80.5%,56.5%,54.0%,50.0%,-,-,-,-,-,-,-
173,Eliminated,15,10,6,2,8,50.0%,200,85.5%,56.5%,54.5%,50.0%,-,-,-,-,-,-,-
174,Eliminated,20,0,4,3,10,50.0%,200,96.0%,55.5%,51.5%,50.0%,-,-,-,-,-,-,-
175,Eliminated,20,0,8,1,6,50.0%,200,95.5%,61.0%,57.5%,50.0%,-,-,-,-,-,-,-
176,Eliminated,20,20,6,2,6,50.0%,200,85.0%,57.5%,51.5%,50.0%,-,-,-,-,-,-,-
177,Eliminated,0,5,6,3,2,49.5%,200,81.5%,60.5%,58.0%,49.5%,-,-,-,-,-,-,-
178,Eliminated,5,0,2,1,8,49.5%,200,84.0%,62.0%,54.0%,49.5%,-,-,-,-,-,-,-
179,Eliminated,5,0,10,3,8,49.5%,200,95.0%,67.0%,54.0%,49.5%,-,-,-,-,-,-,-
180,Eliminated,10,15,8,3,8,49.5%,200,87.5%,61.0%,54.5%,49.5%,-,-,-,-,-,-,-
181,Eliminated,15,5,8,2,4,49.5%,200,87.5%,58.5%,52.5%,49.5%,-,-,-,-,-,-,-
182,Eliminated,20,0,2,1,10,49.5%,200,85.0%,53.5%,54.5%,49.5%,-,-,-,-,-,-,-
183,Eliminated,20,20,8,3,8,49.5%,200,89.5%,51.5%,56.0%,49.5%,-,-,-,-,-,-,-
184,Eliminated,5,0,2,2,10,49.3%,201,89.5%,56.5%,51.0%,49.3%,-,-,-,-,-,-,-
